date,season,home_team,away_team,home_score,away_score
2026-05-07,2526,Al Shabab,Al Nassr,2,4
2026-05-09,2526,Al Fayha,Al Qadsiah,1,2
2026-05-09,2526,Al Khaleej,Al Ettifaq,0,5
2026-05-09,2526,Al Najma,Al Hazem,2,2
2026-05-10,2526,Al Ittihad,Damac,2,1
2026-05-10,2526,Al Riyadh,Al Fateh,1,0
2026-05-11,2526,Al Taawoun,Al Ahli,1,2
2026-05-11,2526,Neom SC,Al Shabab,2,1
2026-05-12,2526,Al Kholood,Al Okhdood,0,0
2026-05-12,2526,Al Nassr,Al Hilal,1,1
2026-05-14,2526,Al Ettifaq,Al Ittihad,1,3
2026-05-14,2526,Al Fateh,Al Najma,2,0
2026-05-14,2526,Al Qadsiah,Al Hazem,2,0
2026-05-15,2526,Al Taawoun,Al Riyadh,1,1
2026-05-15,2526,Damac,Al Fayha,3,0
2026-05-16,2526,Al Ahli,Al Kholood,3,0
2026-05-16,2526,Al Hilal,Neom SC,2,0
2026-05-16,2526,Al Okhdood,Al Khaleej,3,1
2026-05-17,2526,Al Shabab,Al Ittihad,3,2
2026-05-20,2526,Al Khaleej,Al Ahli,1,4
2026-05-20,2526,Al Najma,Al Shabab,1,0
2026-05-21,2526,Al Fayha,Al Hilal,0,1
2026-05-21,2526,Al Hazem,Al Taawoun,2,0
2026-05-21,2526,Al Ittihad,Al Qadsiah,1,5
2026-05-21,2526,Al Kholood,Al Fateh,0,0
2026-05-21,2526,Al Nassr,Damac,4,1
2026-05-21,2526,Al Riyadh,Al Okhdood,1,0
2026-05-21,2526,Neom SC,Al Ettifaq,1,1
